full_name, age, birthday, birthday_GMT, league, season, position, Current_Club, minutes_played_overall, minutes_played_home, minutes_played_away, nationality, appearances_overall, appearances_home, appearances_away, goals_overall, goals_home, goals_away, assists_overall, assists_home, assists_away, penalty_goals, penalty_misses, clean_sheets_overall, clean_sheets_home, clean_sheets_away, conceded_overall, conceded_home, conceded_away, yellow_cards_overall, red_cards_overall, goals_involved_per_90_overall, assists_per_90_overall, goals_per_90_overall, goals_per_90_home, goals_per_90_away, min_per_goal_overall, conceded_per_90_overall, min_per_conceded_overall, min_per_match, min_per_card_overall, min_per_assist_overall, cards_per_90_overall, rank_in_league_top_attackers, rank_in_league_top_midfielders, rank_in_league_top_defenders, rank_in_club_top_scorer
Matt Targett, 27, 811407600, 1995/09/18, Premier League, 2018/2019, Defender, Southampton, 1185, 483, 702, England, 16, 7, 9, 1, 1, 0, 3, 2, 1, 0, 0, 1, 0, 1, 24, 10, 14, 2, 0, 0.3, 0.23, 0.08, 0.19, 0, 1185, 1.82, 49, 74, 593, 395, 0.15, 183, 51, 151, 11
Nacho Monreal, 36, 509788800, 1986/02/26, Premier League, 2018/2019, Defender, Arsenal, 1861, 781, 1080, Spain, 22, 10, 12, 1, 1, 0, 3, 0, 3, 0, 0, 6, 5, 1, 21, 3, 18, 5, 0, 0.19, 0.15, 0.05, 0.12, 0, 1861, 1.02, 89, 85, 372, 620, 0.24, 222, 98, 37, 11
Alexis Sanchez, 33, 598521600, 1988/12/19, Premier League, 2018/2019, Forward, Manchester United, 877, 387, 490, Chile, 20, 10, 10, 1, 1, 0, 3, 0, 3, 0, 0, 6, 2, 4, 8, 4, 4, 3, 0, 0.41, 0.31, 0.1, 0.23, 0, 877, 0.82, 110, 44, 292, 292, 0.31, 166, 17, -1, 10
Kieran Trippier, 32, 653727600, 1990/09/19, Premier League, 2018/2019, Defender, Tottenham Hotspur, 2278, 1188, 1090, England, 27, 14, 13, 1, 1, 0, 3, 0, 3, 0, 0, 10, 5, 5, 20, 10, 10, 2, 0, 0.16, 0.12, 0.04, 0.08, 0, 2278, 0.79, 114, 84, 1139, 759, 0.08, 230, 122, 19, 12
Jack Cork, 33, 614761200, 1989/06/25, Premier League, 2018/2019, Midfielder, Burnley, 3313, 1693, 1620, England, 37, 19, 18, 1, 1, 0, 2, 1, 1, 0, 0, 8, 5, 3, 54, 27, 27, 6, 0, 0.08, 0.05, 0.03, 0.05, 0, 3313, 1.47, 61, 90, 552, 1657, 0.16, 249, 204, -1, 11
Fabinho, 29, 751359600, 1993/10/23, Premier League, 2018/2019, Midfielder, Liverpool, 2013, 1051, 962, Brazil, 28, 14, 14, 1, 1, 0, 2, 1, 1, 0, 0, 15, 7, 8, 13, 6, 7, 6, 0, 0.13, 0.09, 0.04, 0.09, 0, 2013, 0.58, 155, 72, 336, 1007, 0.27, 229, 166, -1, 15
Cedric Soares, 31, 683622000, 1991/08/31, Premier League, 2018/2019, Defender, Southampton, 1494, 651, 843, Portugal, 18, 8, 10, 1, 1, 0, 2, 0, 2, 0, 0, 5, 2, 3, 26, 7, 19, 4, 0, 0.18, 0.12, 0.06, 0.14, 0, 1494, 1.57, 57, 83, 374, 747, 0.24, 204, 124, 127, 15
Jean Michau00ebl Seri, 31, 679906800, 1991/07/19, Premier League, 2018/2019, Midfielder, Fulham, 2252, 1112, 1140, Ivory Coast, 32, 15, 17, 1, 1, 0, 2, 0, 2, 0, 0, 4, 2, 2, 53, 23, 30, 6, 0, 0.12, 0.08, 0.04, 0.08, 0, 2252, 2.12, 42, 70, 375, 1126, 0.24, 236, 171, -1, 7
Jonny, 28, 762681600, 1994/03/03, Premier League, 2018/2019, Defender, Wolverhampton Wanderers, 2780, 1269, 1511, Spain, 33, 16, 17, 1, 1, 0, 1, 1, 0, 0, 0, 8, 6, 2, 36, 16, 20, 6, 0, 0.06, 0.03, 0.03, 0.07, 0, 2780, 1.17, 77, 84, 463, 2780, 0.19, 257, 237, 59, 12
Aron Einar Gunnarsson, 33, 609231600, 1989/04/22, Premier League, 2018/2019, Midfielder, Cardiff City, 2274, 1240, 1034, Iceland, 28, 14, 14, 1, 1, 0, 1, 1, 0, 0, 0, 8, 4, 4, 37, 20, 17, 5, 0, 0.08, 0.04, 0.04, 0.07, 0, 2274, 1.46, 61, 81, 455, 2274, 0.2, 232, 234, -1, 9
Francisco Femenía Far, 31, 665481600, 1991/02/02, Premier League, 2018/2019, Midfielder, Watford, 2045, 1011, 1034, Spain, 29, 14, 15, 1, 1, 0, 1, 1, 0, 0, 0, 5, 3, 2, 38, 21, 17, 1, 0, 0.09, 0.04, 0.04, 0.09, 0, 2045, 1.67, 54, 71, 2045, 2045, 0.04, 240, 216, -1, 12
Tom Cairney, 31, 664358400, 1991/01/20, Premier League, 2018/2019, Midfielder, Fulham, 2198, 1107, 1091, Scotland, 31, 16, 15, 1, 1, 0, 1, 1, 0, 0, 0, 4, 3, 1, 49, 21, 28, 0, 0, 0.08, 0.04, 0.04, 0.08, 0, 2198, 2.01, 45, 71, 0, 2198, 0, 238, 217, -1, 10
Isaac Mbenza, 26, 826272000, 1996/03/08, Premier League, 2018/2019, Forward, Huddersfield Town, 981, 589, 392, Belgium, 22, 13, 9, 1, 1, 0, 1, 1, 0, 0, 0, 4, 2, 2, 25, 15, 10, 1, 0, 0.18, 0.09, 0.09, 0.15, 0, 981, 2.29, 39, 45, 981, 981, 0.09, 172, 165, -1, 11
Aaron Lennon, 35, 545554800, 1987/04/16, Premier League, 2018/2019, Midfielder, Burnley, 1217, 487, 730, England, 16, 7, 9, 1, 1, 0, 1, 1, 0, 0, 0, 4, 2, 2, 20, 8, 12, 1, 0, 0.15, 0.07, 0.07, 0.18, 0, 1217, 1.48, 61, 76, 1217, 1217, 0.07, 196, 187, -1, 10
Angelo Ogbonna, 34, 580374000, 1988/05/23, Premier League, 2018/2019, Defender, West Ham United, 1870, 956, 914, Italy, 24, 12, 12, 1, 1, 0, 1, 1, 0, 0, 0, 3, 2, 1, 32, 13, 19, 2, 0, 0.1, 0.05, 0.05, 0.09, 0, 1870, 1.54, 58, 78, 935, 1870, 0.1, 226, 207, 124, 13
Andreas Pereira, 26, 820483200, 1996/01/01, Premier League, 2018/2019, Midfielder, Manchester United, 595, 521, 74, Brazil, 15, 10, 5, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 10, 7, 3, 5, 0, 0.3, 0.15, 0.15, 0.17, 0, 595, 1.51, 60, 40, 119, 595, 0.76, 117, 93, -1, 16
André Filipe Tavares Gomes, 29, 744015600, 1993/07/30, Premier League, 2018/2019, Midfielder, Everton, 1986, 972, 1014, Portugal, 27, 13, 14, 1, 1, 0, 1, 1, 0, 0, 0, 10, 6, 4, 27, 13, 14, 7, 0, 0.09, 0.05, 0.05, 0.09, 0, 1986, 1.22, 74, 74, 284, 1986, 0.32, 220, 213, -1, 11
Adam Smith, 31, 672908400, 1991/04/29, Premier League, 2018/2019, Defender, AFC Bournemouth, 2073, 1051, 1022, England, 25, 12, 13, 1, 1, 0, 1, 0, 1, 0, 0, 9, 5, 4, 30, 10, 20, 6, 1, 0.09, 0.04, 0.04, 0.09, 0, 2073, 1.3, 69, 83, 296, 2073, 0.3, 227, 228, 85, 10
Davinson Sánchez Mina, 26, 834562800, 1996/06/12, Premier League, 2018/2019, Defender, Tottenham Hotspur, 1943, 873, 1070, Colombia, 23, 10, 13, 1, 1, 0, 1, 0, 1, 0, 0, 6, 3, 3, 21, 9, 12, 2, 0, 0.09, 0.05, 0.05, 0.1, 0, 1943, 0.97, 93, 84, 972, 1943, 0.09, 221, 208, 26, 13
Victor Nilsson Lindelöf, 28, 774428400, 1994/07/17, Premier League, 2018/2019, Defender, Manchester United, 2602, 1112, 1490, Sweden, 30, 13, 17, 1, 1, 0, 1, 0, 1, 0, 0, 6, 2, 4, 38, 13, 25, 1, 0, 0.07, 0.03, 0.03, 0.08, 0, 2602, 1.31, 68, 87, 2602, 2602, 0.03, 263, 246, 88, 14
Isaac Ajayi Success, 26, 821001600, 1996/01/07, Premier League, 2018/2019, Forward, Watford, 1037, 461, 576, Nigeria, 30, 15, 15, 1, 1, 0, 1, 0, 1, 0, 0, 5, 3, 2, 20, 8, 12, 4, 0, 0.17, 0.09, 0.09, 0.2, 0, 1037, 1.74, 52, 35, 259, 1037, 0.35, 181, 154, -1, 10
Danny Welbeck, 31, 659606400, 1990/11/26, Premier League, 2018/2019, Forward, Arsenal, 147, 47, 100, England, 8, 4, 4, 1, 1, 0, 1, 0, 1, 0, 0, 2, 2, 0, 2, 0, 2, 0, 0, 1.22, 0.61, 0.61, 1.91, 0, 147, 1.22, 74, 18, 0, 147, 0, -1, -1, -1, 13
Kyle Walker, 32, 643878000, 1990/05/28, Premier League, 2018/2019, Defender, Manchester City, 2777, 1245, 1532, England, 33, 15, 18, 1, 1, 0, 1, 0, 1, 0, 0, 18, 7, 11, 17, 9, 8, 3, 0, 0.06, 0.03, 0.03, 0.07, 0, 2777, 0.55, 163, 84, 926, 2777, 0.1, 250, 248, 10, 14
Matěj Vydra, 30, 704703600, 1992/05/01, Premier League, 2018/2019, Forward, Burnley, 311, 91, 220, Czech Republic, 13, 6, 7, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 4, 0, 4, 1, 0, 0.58, 0.29, 0.29, 0.99, 0, 311, 1.16, 78, 24, 311, 311, 0.29, 66, 23, -1, 12
Frederico Rodrigues Santos, 29, 731318400, 1993/03/05, Premier League, 2018/2019, Midfielder, Manchester United, 1045, 577, 468, Brazil, 17, 9, 8, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 19, 8, 11, 2, 0, 0.17, 0.09, 0.09, 0.16, 0, 1045, 1.64, 55, 61, 523, 1045, 0.17, 178, 156, -1, 12
Ryan Bennett, 32, 636710400, 1990/03/06, Premier League, 2018/2019, Defender, Wolverhampton Wanderers, 3060, 1710, 1350, England, 34, 19, 15, 1, 1, 0, 0, 0, 0, 0, 0, 9, 7, 2, 36, 20, 16, 12, 0, 0.03, 0, 0.03, 0.05, 0, 3060, 1.06, 85, 90, 255, 0, 0.35, 256, 304, 40, 10
Jonny Evans, 34, 568195200, 1988/01/03, Premier League, 2018/2019, Defender, Leicester City, 1995, 1074, 921, Northern Ireland, 24, 12, 12, 1, 1, 0, 0, 0, 0, 0, 0, 8, 6, 2, 22, 9, 13, 2, 0, 0.05, 0, 0.05, 0.08, 0, 1995, 0.99, 91, 83, 998, 0, 0.09, 224, 319, 32, 11
Philip Foden, 22, 959497200, 2000/05/28, Premier League, 2018/2019, Midfielder, Manchester City, 327, 279, 48, England, 13, 10, 3, 1, 1, 0, 0, 0, 0, 0, 0, 8, 6, 2, 0, 0, 0, 0, 0, 0.28, 0, 0.28, 0.32, 0, 327, 0, 0, 25, 0, 0, 0, 67, 386, -1, 11
Christian Atsu Twasam, 30, 695030400, 1992/01/10, Premier League, 2018/2019, Midfielder, Newcastle United, 1487, 710, 777, Ghana, 28, 13, 15, 1, 1, 0, 0, 0, 0, 0, 0, 8, 3, 5, 16, 10, 6, 2, 0, 0.06, 0, 0.06, 0.13, 0, 1487, 0.97, 93, 53, 744, 0, 0.12, 206, 271, -1, 7
Issa Diop, 25, 852796800, 1997/01/09, Premier League, 2018/2019, Defender, West Ham United, 2970, 1530, 1440, France, 33, 17, 16, 1, 1, 0, 0, 0, 0, 0, 0, 7, 4, 3, 38, 20, 18, 4, 0, 0.03, 0, 0.03, 0.06, 0, 2970, 1.15, 78, 90, 743, 0, 0.12, 248, 364, 55, 14
Vincent Kompany, 36, 513504000, 1986/04/10, Premier League, 2018/2019, Defender, Manchester City, 1223, 561, 662, Belgium, 17, 8, 9, 1, 1, 0, 0, 0, 0, 0, 0, 7, 3, 4, 7, 3, 4, 6, 0, 0.07, 0, 0.07, 0.16, 0, 1223, 0.52, 175, 72, 204, 0, 0.44, 194, 384, 7, 12
Victor Wanyama, 31, 677833200, 1991/06/25, Premier League, 2018/2019, Midfielder, Tottenham Hotspur, 509, 302, 207, Kenya, 13, 9, 4, 1, 1, 0, 0, 0, 0, 0, 0, 6, 4, 2, 3, 3, 0, 2, 0, 0.18, 0, 0.18, 0.3, 0, 509, 0.53, 170, 39, 255, 0, 0.35, 106, 266, -1, 11
Charlie Daniels, 36, 526460400, 1986/09/07, Premier League, 2018/2019, Defender, AFC Bournemouth, 1583, 803, 780, England, 21, 11, 10, 1, 1, 0, 0, 0, 0, 0, 0, 6, 4, 2, 32, 14, 18, 4, 0, 0.06, 0, 0.06, 0.11, 0, 1583, 1.82, 49, 75, 396, 0, 0.23, 208, 254, 152, 12
Dejan Lovren, 33, 615625200, 1989/07/05, Premier League, 2018/2019, Defender, Liverpool, 985, 540, 445, Croatia, 13, 7, 6, 1, 1, 0, 0, 0, 0, 0, 0, 6, 3, 3, 7, 3, 4, 1, 0, 0.09, 0, 0.09, 0.17, 0, 985, 0.64, 141, 76, 985, 0, 0.09, 173, 324, 15, 12
Ryan Bertrand, 33, 618303600, 1989/08/05, Premier League, 2018/2019, Defender, Southampton, 2160, 1170, 990, England, 24, 13, 11, 1, 1, 0, 0, 0, 0, 0, 0, 6, 3, 3, 36, 15, 21, 8, 0, 0.04, 0, 0.04, 0.08, 0, 2160, 1.5, 60, 90, 270, 0, 0.33, 245, 366, 117, 13
Oriol Romeu, 31, 685695600, 1991/09/24, Premier League, 2018/2019, Midfielder, Southampton, 2140, 1110, 1030, Spain, 31, 16, 15, 1, 1, 0, 0, 0, 0, 0, 0, 6, 3, 3, 32, 16, 16, 11, 0, 0.04, 0, 0.04, 0.08, 0, 2140, 1.35, 67, 69, 195, 0, 0.46, 244, 371, -1, 9
Nemanja Matić, 34, 586422000, 1988/08/01, Premier League, 2018/2019, Midfielder, Manchester United, 2441, 1051, 1390, Serbia, 28, 12, 16, 1, 1, 0, 0, 0, 0, 0, 0, 6, 1, 5, 35, 14, 21, 8, 1, 0.04, 0, 0.04, 0.09, 0, 2441, 1.29, 70, 87, 305, 0, 0.29, 239, 257, -1, 11
Phil Jagielka, 40, 398415600, 1982/08/17, Premier League, 2018/2019, Defender, Everton, 329, 95, 234, England, 7, 3, 4, 1, 1, 0, 0, 0, 0, 0, 0, 5, 3, 2, 2, 0, 2, 1, 1, 0.27, 0, 0.27, 0.95, 0, 329, 0.55, 165, 47, 165, 0, 0.55, 71, 272, 9, 13
Jack Stephens, 28, 759657600, 1994/01/27, Premier League, 2018/2019, Defender, Southampton, 1697, 816, 881, England, 24, 10, 14, 1, 1, 0, 0, 0, 0, 0, 0, 5, 2, 3, 30, 11, 19, 4, 0, 0.05, 0, 0.05, 0.11, 0, 1697, 1.59, 57, 71, 424, 0, 0.21, 223, 369, 130, 14
Kadeem Harris, 29, 739522800, 1993/06/08, Premier League, 2018/2019, Midfielder, Cardiff City, 366, 133, 233, England, 13, 5, 8, 1, 1, 0, 0, 0, 0, 0, 0, 4, 1, 3, 5, 1, 4, 1, 0, 0.25, 0, 0.25, 0.68, 0, 366, 1.23, 73, 28, 366, 0, 0.25, 79, 262, -1, 11
Sean Longstaff, 25, 878198400, 1997/10/30, Premier League, 2018/2019, Midfielder, Newcastle United, 688, 355, 333, England, 9, 4, 5, 1, 1, 0, 0, 0, 0, 0, 0, 3, 3, 0, 8, 1, 7, 2, 0, 0.13, 0, 0.13, 0.25, 0, 688, 1.05, 86, 76, 344, 0, 0.26, 135, 263, -1, 11
Ryan Fredericks, 30, 718700400, 1992/10/10, Premier League, 2018/2019, Midfielder, West Ham United, 1085, 404, 681, England, 15, 5, 10, 1, 1, 0, 0, 0, 0, 0, 0, 3, 2, 1, 13, 1, 12, 5, 0, 0.08, 0, 0.08, 0.22, 0, 1085, 1.08, 83, 72, 217, 0, 0.41, 189, 340, -1, 11
Rachid Ghezzal, 30, 705394800, 1992/05/09, Premier League, 2018/2019, Forward, Leicester City, 738, 455, 283, Algeria, 19, 12, 7, 1, 1, 0, 0, 0, 0, 0, 0, 3, 2, 1, 12, 6, 6, 3, 0, 0.12, 0, 0.12, 0.2, 0, 738, 1.46, 62, 39, 246, 0, 0.37, 140, 322, -1, 12
Manolo Gabbiadini, 30, 691142400, 1991/11/26, Premier League, 2018/2019, Forward, Southampton, 470, 253, 217, Italy, 12, 6, 6, 1, 1, 0, 0, 0, 0, 0, 0, 3, 2, 1, 11, 3, 8, 0, 0, 0.19, 0, 0.19, 0.36, 0, 470, 2.11, 43, 39, 0, 0, 0, 100, 357, -1, 12
Danny Ward, 31, 660729600, 1990/12/09, Premier League, 2018/2019, Forward, Cardiff City, 440, 246, 194, England, 14, 6, 8, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 2, 11, 8, 3, 0, 0, 0.2, 0, 0.2, 0.37, 0, 440, 2.25, 40, 31, 0, 0, 0, 94, 382, -1, 10
Antonio Rüdiger, 29, 731145600, 1993/03/03, Premier League, 2018/2019, Defender, Chelsea, 2874, 1350, 1524, Germany, 33, 15, 18, 1, 1, 0, 0, 0, 0, 0, 0, 12, 7, 5, 34, 10, 24, 7, 0, 0.03, 0, 0.03, 0.07, 0, 2874, 1.06, 85, 87, 411, 0, 0.22, 259, 374, 38, 13
Joel Matip, 31, 681634800, 1991/08/08, Premier League, 2018/2019, Defender, Liverpool, 1532, 811, 721, Cameroon, 22, 10, 12, 1, 1, 0, 0, 0, 0, 0, 0, 11, 6, 5, 9, 5, 4, 3, 0, 0.06, 0, 0.06, 0.11, 0, 1532, 0.53, 170, 70, 511, 0, 0.18, 215, 286, 8, 11
Domingos Quina, 22, 942912000, 1999/11/18, Premier League, 2018/2019, Midfielder, Watford, 335, 217, 118, Portugal, 8, 5, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 5, 3, 2, 0, 0, 0.27, 0, 0.27, 0.41, 0, 335, 1.34, 67, 42, 0, 0, 0, 72, 316, -1, 13
Leon Balogun, 34, 583484400, 1988/06/28, Premier League, 2018/2019, Defender, Brighton & Hove Albion, 591, 309, 282, Nigeria, 8, 4, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 4, 2, 0, 0.15, 0, 0.15, 0.29, 0, 591, 1.37, 66, 74, 296, 0, 0.3, 121, 292, 97, 12
Ben Gibson, 29, 727084800, 1993/01/15, Premier League, 2018/2019, Defender, Burnley, 63, 63, 0, England, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 1, 0, 1.43, 0, 1.43, 1.43, 0, 63, 4.29, 21, 63, 63, 0, 1.43, -1, -1, -1, 9
Joel Ward, 32, 625647600, 1989/10/29, Premier League, 2018/2019, Defender, Crystal Palace, 551, 191, 360, England, 7, 3, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 6, 1, 0, 0.16, 0, 0.16, 0.47, 0, 551, 1.96, 46, 79, 551, 0, 0.16, 114, 358, 159, 11
João Moutinho, 36, 526546800, 1986/09/08, Premier League, 2018/2019, Midfielder, Wolverhampton Wanderers, 3040, 1532, 1508, Portugal, 38, 19, 19, 1, 0, 1, 8, 5, 3, 0, 0, 9, 7, 2, 37, 17, 20, 4, 0, 0.27, 0.24, 0.03, 0, 0.06, 3040, 1.1, 82, 80, 760, 380, 0.12, 258, 44, -1, 11
Cesar Azpilicueta, 33, 620290800, 1989/08/28, Premier League, 2018/2019, Defender, Chelsea, 3403, 1693, 1710, Spain, 38, 19, 19, 1, 0, 1, 5, 3, 2, 0, 0, 16, 10, 6, 38, 12, 26, 4, 0, 0.16, 0.13, 0.03, 0, 0.05, 3403, 1, 90, 90, 851, 681, 0.11, 260, 116, 33, 14
Isaac Hayden, 27, 795859200, 1995/03/22, Premier League, 2018/2019, Midfielder, Newcastle United, 1886, 904, 982, England, 25, 11, 14, 1, 0, 1, 4, 4, 0, 0, 0, 7, 3, 4, 25, 12, 13, 4, 1, 0.24, 0.19, 0.05, 0, 0.09, 1886, 1.19, 75, 75, 377, 472, 0.24, 219, 67, -1, 10
Sean Morrison, 31, 663321600, 1991/01/08, Premier League, 2018/2019, Defender, Cardiff City, 3040, 1600, 1440, England, 34, 18, 16, 1, 0, 1, 3, 2, 1, 0, 0, 9, 4, 5, 57, 34, 23, 6, 0, 0.12, 0.09, 0.03, 0, 0.06, 3040, 1.69, 53, 89, 507, 1013, 0.18, 255, 164, 140, 8
Etienne Capoue, 34, 584607600, 1988/07/11, Premier League, 2018/2019, Midfielder, Watford, 2947, 1518, 1429, France, 33, 17, 16, 1, 0, 1, 3, 2, 1, 0, 0, 7, 4, 3, 47, 24, 23, 15, 1, 0.12, 0.09, 0.03, 0, 0.06, 2947, 1.44, 63, 89, 184, 982, 0.49, 253, 153, -1, 9
Jordan Henderson, 32, 645606000, 1990/06/17, Premier League, 2018/2019, Midfielder, Liverpool, 1983, 925, 1058, England, 32, 16, 16, 1, 0, 1, 3, 2, 1, 0, 0, 19, 10, 9, 11, 4, 7, 3, 1, 0.18, 0.14, 0.05, 0, 0.09, 1983, 0.5, 180, 62, 661, 661, 0.14, 217, 102, -1, 14
Bernard Anício Caldeira Duarte, 30, 715935600, 1992/09/08, Premier League, 2018/2019, Midfielder, Everton, 2128, 960, 1168, Brazil, 34, 16, 18, 1, 0, 1, 3, 1, 2, 0, 0, 14, 9, 5, 19, 5, 14, 5, 0, 0.17, 0.13, 0.04, 0, 0.08, 2128, 0.8, 112, 63, 426, 709, 0.21, 243, 117, -1, 12
Sokratis Papastathopoulos, 34, 581842800, 1988/06/09, Premier League, 2018/2019, Defender, Arsenal, 2199, 1119, 1080, Greece, 25, 13, 12, 1, 0, 1, 2, 2, 0, 0, 0, 6, 6, 0, 31, 9, 22, 12, 0, 0.12, 0.08, 0.04, 0, 0.08, 2199, 1.27, 71, 88, 183, 1100, 0.49, 234, 173, 82, 12
Harvey Lewis Barnes, 24, 881654400, 1997/12/09, Premier League, 2018/2019, Midfielder, Leicester City, 1007, 601, 406, England, 16, 9, 7, 1, 0, 1, 2, 2, 0, 0, 0, 3, 3, 0, 16, 7, 9, 0, 0, 0.27, 0.18, 0.09, 0, 0.22, 1007, 1.43, 63, 63, 0, 504, 0, 175, 78, -1, 10
Ken Sema, 29, 749372400, 1993/09/30, Premier League, 2018/2019, Midfielder, Watford, 755, 301, 454, Sweden, 17, 8, 9, 1, 0, 1, 2, 1, 1, 0, 0, 6, 4, 2, 8, 3, 5, 1, 0, 0.36, 0.24, 0.12, 0, 0.2, 755, 0.95, 94, 44, 755, 378, 0.12, 143, 47, -1, 14
DeAndre Yedlin, 29, 742201200, 1993/07/09, Premier League, 2018/2019, Defender, Newcastle United, 2475, 1313, 1162, USA, 29, 16, 13, 1, 0, 1, 2, 1, 1, 0, 0, 6, 4, 2, 37, 19, 18, 7, 1, 0.11, 0.07, 0.04, 0, 0.08, 2475, 1.35, 67, 85, 309, 1238, 0.29, 237, 177, 93, 13
Hélder Wander Sousa Azevedo Costa, 28, 758361600, 1994/01/12, Premier League, 2018/2019, Midfielder, Wolverhampton Wanderers, 1345, 657, 688, Portugal, 25, 11, 14, 1, 0, 1, 2, 1, 1, 0, 0, 5, 3, 2, 18, 10, 8, 3, 0, 0.2, 0.13, 0.07, 0, 0.13, 1345, 1.2, 75, 54, 448, 673, 0.2, 200, 113, -1, 9
Michael Keane, 29, 726739200, 1993/01/11, Premier League, 2018/2019, Defender, Everton, 2970, 1350, 1620, England, 33, 15, 18, 1, 0, 1, 2, 1, 1, 0, 0, 13, 8, 5, 37, 15, 22, 2, 0, 0.09, 0.06, 0.03, 0, 0.06, 2970, 1.12, 80, 90, 1485, 1485, 0.06, 251, 196, 49, 10
Max Meyer, 27, 811407600, 1995/09/18, Premier League, 2018/2019, Midfielder, Crystal Palace, 1414, 718, 696, Germany, 29, 18, 11, 1, 0, 1, 2, 0, 2, 0, 0, 8, 7, 1, 19, 5, 14, 3, 0, 0.19, 0.13, 0.06, 0, 0.13, 1414, 1.21, 74, 49, 471, 707, 0.19, 209, 110, -1, 8
Jordan Ayew, 31, 684572400, 1991/09/11, Premier League, 2018/2019, Forward, Crystal Palace, 1186, 616, 570, Ghana, 20, 8, 12, 1, 0, 1, 2, 0, 2, 0, 0, 6, 3, 3, 13, 7, 6, 3, 0, 0.23, 0.15, 0.08, 0, 0.16, 1186, 0.99, 91, 59, 395, 593, 0.23, 187, 96, -1, 12
Trent Alexander-Arnold, 24, 907743600, 1998/10/07, Premier League, 2018/2019, Defender, Liverpool, 2467, 1266, 1201, England, 29, 15, 14, 1, 0, 1, 12, 8, 4, 0, 0, 16, 11, 5, 14, 4, 10, 3, 0, 0.47, 0.44, 0.04, 0, 0.07, 2467, 0.51, 176, 85, 822, 206, 0.11, 233, 6, 6, 13
Robert Kenedy Nunes do Nascimento, 26, 823766400, 1996/02/08, Premier League, 2018/2019, Midfielder, Newcastle United, 1344, 611, 733, Brazil, 25, 13, 12, 1, 0, 1, 1, 1, 0, 0, 1, 8, 3, 5, 17, 9, 8, 1, 0, 0.13, 0.07, 0.07, 0, 0.12, 1344, 1.14, 79, 54, 1344, 1344, 0.07, 193, 184, -1, 9
Adama Traoré Diarra, 26, 822556800, 1996/01/25, Premier League, 2018/2019, Midfielder, Wolverhampton Wanderers, 890, 315, 575, Spain, 29, 12, 17, 1, 0, 1, 1, 1, 0, 0, 0, 6, 4, 2, 11, 2, 9, 1, 0, 0.2, 0.1, 0.1, 0, 0.16, 890, 1.11, 81, 31, 890, 890, 0.1, 160, 152, -1, 13
Beram Kayal, 34, 578559600, 1988/05/02, Premier League, 2018/2019, Midfielder, Brighton & Hove Albion, 934, 494, 440, Israel, 18, 9, 9, 1, 0, 1, 1, 1, 0, 0, 0, 5, 3, 2, 15, 8, 7, 4, 0, 0.19, 0.1, 0.1, 0, 0.2, 934, 1.45, 62, 52, 234, 934, 0.39, 163, 146, -1, 8
Jordon Ibe, 26, 818409600, 1995/12/08, Premier League, 2018/2019, Midfielder, AFC Bournemouth, 795, 334, 461, England, 19, 10, 9, 1, 0, 1, 1, 1, 0, 0, 0, 4, 4, 0, 21, 3, 18, 1, 0, 0.23, 0.11, 0.11, 0, 0.2, 795, 2.38, 38, 42, 795, 795, 0.11, 154, 134, -1, 13
Michael Obafemi, 22, 962866800, 2000/07/06, Premier League, 2018/2019, Forward, Southampton, 134, 64, 70, Republic of Ireland, 6, 2, 4, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 1.34, 0.67, 0.67, 0, 1.29, 134, 1.34, 67, 22, 134, 134, 0.67, -1, -1, -1, 16
Steve Cook, 31, 672044400, 1991/04/19, Premier League, 2018/2019, Defender, AFC Bournemouth, 2787, 1350, 1437, England, 31, 15, 16, 1, 0, 1, 1, 0, 1, 0, 0, 9, 6, 3, 53, 17, 36, 3, 0, 0.06, 0.03, 0.03, 0, 0.06, 2787, 1.71, 53, 90, 929, 2787, 0.1, 254, 243, 145, 9
Davy Pröpper, 31, 683794800, 1991/09/02, Premier League, 2018/2019, Midfielder, Brighton & Hove Albion, 2551, 1371, 1180, Netherlands, 30, 16, 14, 1, 0, 1, 1, 0, 1, 0, 0, 5, 4, 1, 44, 19, 25, 2, 0, 0.07, 0.04, 0.04, 0, 0.08, 2551, 1.55, 58, 85, 1276, 2551, 0.07, 241, 226, -1, 10
Dale Stephens, 33, 613638000, 1989/06/12, Premier League, 2018/2019, Midfielder, Brighton & Hove Albion, 2487, 1191, 1296, England, 30, 14, 16, 1, 0, 1, 1, 0, 1, 0, 0, 5, 3, 2, 43, 18, 25, 7, 1, 0.07, 0.04, 0.04, 0, 0.07, 2487, 1.56, 58, 83, 311, 2487, 0.29, 247, 224, -1, 9
